#,Company,Symbol,Weight,Price,Chg,% Chg
146,Williams Companies,WMB,0.0012,59.61,0.7,-0.011899999999999999
147,Synopsys,SNPS,0.0012,388.36,2.76,-0.0072
148,Emerson Electric,EMR,0.0012,128.22,4.5,-0.0364
149,Royal Caribbean Group,RCL,0.0012,264.09,11.37,-0.045
150,Illinois Tool Works,ITW,0.0012,247.77,6.67,-0.0277
151,Elevance Health,ELV,0.0012,321.73,7.74,-0.024700000000000003
152,Cencora,COR,0.0012,365.68,3.61,-0.01
153,Monster Beverage,MNST,0.0012,72.04,-0.18,-0.0025
154,Johnson Controls,JCI,0.0012,113.55,0.56,-0.005
155,Airbnb,ABNB,0.0012,114.26,2.72,-0.024399999999999998
156,Corning Inc.,GLW,0.0011,79.46,1.43,-0.0183
157,Republic Services,RSG,0.0011,219.0,0.57,-0.0026
158,General Motors,GM,0.0011,70.33,2.29,-0.0337
159,Colgate-Palmolive,CL,0.0011,80.93,2.07,-0.0262
160,Cummins,CMI,0.0011,472.51,7.32,-0.015700000000000002
161,AutoZone,AZO,0.0011,3897.88,48.07,-0.0125
162,Coinbase Global,COIN,0.0011,240.41,2.25,-0.009399999999999999
163,Travelers Companies (The),TRV,0.0011,290.07,2.22,-0.0077
164,Arthur J. Gallagher & Co.,AJG,0.0011,251.41,4.11,-0.0166
165,American Electric Power,AEP,0.0011,120.84,-0.06,-0.0005
166,TE Connectivity,TEL,0.0011,218.93,4.44,-0.0207
167,Norfolk Southern Railway,NSC,0.0011,286.29,6.07,-0.0217
168,Quanta Services,PWR,0.0011,430.15,0.37,-0.0009
169,CSX Corporation,CSX,0.0011,34.28,0.6,-0.0178
170,Hilton Worldwide,HLT,0.0011,274.48,10.16,-0.0384
171,FedEx,FDX,0.0011,269.43,6.33,-0.0241
172,Autodesk,ADSK,0.001,290.8,3.86,-0.0134
173,Motorola Solutions,MSI,0.001,368.99,1.95,-0.0053
174,Sempra,SRE,0.001,92.5,1.79,-0.0197
175,"Workday, Inc.",WDAY,0.001,225.14,8.33,-0.0384
176,Kinder Morgan,KMI,0.001,26.98,0.26,-0.0097
177,Simon Property Group,SPG,0.001,183.08,3.01,-0.0167
178,Fortinet,FTNT,0.001,78.86,0.81,-0.0104
179,Truist Financial,TFC,0.001,45.48,1.08,-0.024300000000000002
180,Aflac,AFL,0.001,110.98,0.43,-0.0039000000000000003
181,EOG Resources,EOG,0.001,106.97,0.9,-0.0085
182,Idexx Laboratories,IDXX,0.001,725.91,36.56,-0.053
183,Warner Bros. Discovery,WBD,0.001,23.17,0.29,-0.0127
184,Marathon Petroleum,MPC,0.001,190.62,2.75,-0.0146
185,Air Products,APD,0.001,257.37,6.28,-0.025
186,Freeport-McMoRan,FCX,0.001,39.87,0.24,-0.0060999999999999995
187,Vistra Corp.,VST,0.001,168.59,-5.2,-0.029900000000000003
188,PayPal,PYPL,0.001,60.57,2.47,-0.0424
189,Ross Stores,ROST,0.001,174.0,13.5,-0.08410000000000001
190,Allstate,ALL,0.0009,214.32,2.58,-0.012199999999999999
191,Datadog,DDOG,0.0009,157.55,-2.02,-0.0127
192,Becton Dickinson,BDX,0.0009,192.72,3.14,-0.0166
193,Paccar,PCAR,0.0009,102.99,5.39,-0.0552
194,Schlumberger,SLB,0.0009,36.19,1.0,-0.028399999999999998
195,Digital Realty,DLR,0.0009,157.18,-0.41,-0.0026
196,Phillips 66,PSX,0.0009,133.72,1.73,-0.0131
197,Zoetis,ZTS,0.0009,122.06,6.17,-0.053200000000000004
198,Valero Energy,VLO,0.0009,173.45,2.63,-0.0154
199,Dominion Energy,D,0.0009,61.47,0.64,-0.0105
200,Realty Income,O,0.0009,56.67,0.37,-0.0066
201,L3Harris,LHX,0.0009,277.78,-6.44,-0.0227
202,Seagate Technology,STX,0.0009,237.49,-3.01,-0.0125
203,Ford Motor Company,F,0.0009,12.83,0.42,-0.0338
204,United Rentals,URI,0.0009,800.0,30.0,-0.039
205,Electronic Arts,EA,0.0008,200.69,-0.43,-0.0021
206,"Nasdaq, Inc.",NDAQ,0.0008,87.66,0.67,-0.0077
207,Cardinal Health,CAH,0.0008,209.48,1.58,-0.0076
208,MetLife,MET,0.0008,75.07,1.15,-0.015600000000000001
209,Edwards Lifesciences,EW,0.0008,85.13,1.04,-0.0124
210,Baker Hughes,BKR,0.0008,48.88,0.81,-0.0169
211,NXP Semiconductors,NXPI,0.0008,191.35,7.16,-0.038900000000000004
212,Roper Technologies,ROP,0.0008,443.75,2.89,-0.0066
213,Western Digital,WDC,0.0008,139.19,-1.04,-0.0074
214,Public Storage,PSA,0.0008,269.51,4.06,-0.015300000000000001
215,Xcel Energy,XEL,0.0008,79.67,0.18,-0.0023
216,CBRE Group,CBRE,0.0008,156.79,5.21,-0.0344
217,Exelon,EXC,0.0008,45.75,0.34,-0.0075
218,Fastenal,FAST,0.0008,39.91,0.76,-0.0194
219,W. W. Grainger,GWW,0.0008,952.15,27.0,-0.0292
220,Ametek,AME,0.0008,195.02,5.0,-0.0263
221,ONEOK,OKE,0.0007000000000000001,70.53,0.81,-0.0116
222,Corteva,CTVA,0.0007000000000000001,65.54,1.16,-0.018000000000000002
223,Carrier Global,CARR,0.0007000000000000001,52.41,2.05,-0.0407
224,Kroger,KR,0.0007000000000000001,66.06,0.16,-0.0024
225,Take-Two Interactive,TTWO,0.0007000000000000001,235.47,0.1,-0.0004
226,Las Vegas Sands,LVS,0.0007000000000000001,64.31,0.83,-0.0131
227,Agilent Technologies,A,0.0007000000000000001,151.25,6.19,-0.042699999999999995
228,D. R. Horton,DHI,0.0007000000000000001,146.71,9.39,-0.0684
229,Rockwell Automation,ROK,0.0007000000000000001,378.73,10.03,-0.027200000000000002
230,Yum! Brands,YUM,0.0007000000000000001,152.98,3.77,-0.0253
231,Fair Isaac,FICO,0.0007000000000000001,1788.2,67.65,-0.0393
